"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.79","49.76","MATAGAMI","7094637","2024-01-01","2024","01","01","","-6.2","","-11.3","","-8.7","","26.7","","0.0","","","","","","0.0","","5","","","M","","M"
"-77.79","49.76","MATAGAMI","7094637","2024-01-02","2024","01","02","","-3.2","","-10.8","","-7.0","","25.0","","0.0","","","","","","7.9","","6","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-03","2024","01","03","","-10.3","","-16.7","","-13.5","","31.5","","0.0","","","","","","0.9","","16","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-04","2024","01","04","","-13.8","","-20.4","","-17.1","","35.1","","0.0","","","","","","0.1","","19","","31","","32",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-05","2024","01","05","","-11.0","","-17.2","","-14.1","","32.1","","0.0","","","","","","1.1","","18","","32","","41",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-06","2024","01","06","","-15.9","","-19.7","","-17.8","","35.8","","0.0","","","","","","0.0","","19","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-07","2024","01","07","","-11.1","","-17.1","","-14.1","","32.1","","0.0","","","","","","1.9","","19","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-08","2024","01","08","","-13.0","","-23.1","","-18.0","","36.0","","0.0","","","","","","0.0","","20","","29","","31",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-09","2024","01","09","","-11.6","","-23.2","","-17.4","","35.4","","0.0","","","","","","4.3","","19","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-10","2024","01","10","","-8.2","","-14.0","","-11.1","","29.1","","0.0","","","","","","2.4","","24","","30","","50",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-11","2024","01","11","","-14.0","","-18.4","","-16.2","","34.2","","0.0","","","","","","0.1","","25","","30","","32",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-12","2024","01","12","","-16.0","","-20.7","","-18.4","","36.4","","0.0","","","","","","0.0","","25","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-13","2024","01","13","","-9.4","","-16.1","","-12.7","","30.7","","0.0","","","","","","5.7","","24","","30","","39",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-14","2024","01","14","","-13.8","","-20.3","","-17.0","","35.0","","0.0","","","","","","0.8","","35","","28","","39",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-15","2024","01","15","","-9.1","","-20.0","","-14.6","","32.6","","0.0","","","","","","0.5","","31","","24","","38",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-16","2024","01","16","","-8.9","","-16.3","","-12.6","","30.6","","0.0","","","","","","0.0","","32","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-17","2024","01","17","","-12.3","","-20.9","","-16.6","","34.6","","0.0","","","","","","0.5","","33","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-18","2024","01","18","","-19.3","","-27.8","","-23.5","","41.5","","0.0","","","","","","0.0","","32","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-19","2024","01","19","","-15.9","","-27.4","","-21.6","","39.6","","0.0","","","","","","0.5","","32","","31","","41",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-20","2024","01","20","","-16.1","","-19.7","","-17.9","","35.9","","0.0","","","","","","0.0","","34","","31","","34",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-21","2024","01","21","","-5.8","","-19.2","","-12.5","","30.5","","0.0","","","","","","1.1","","37","","24","","35",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-22","2024","01","22","","-3.5","","-18.4","","-11.0","","29.0","","0.0","","","","","","7.0","","44","","31","","45",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-23","2024","01","23","","-17.7","","-28.9","","-23.3","","41.3","","0.0","","","","","","0.0","","46","","32","","35",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-24","2024","01","24","","-3.0","","-18.5","","-10.7","","28.7","","0.0","","","","","","0.1","","45","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-25","2024","01","25","","-1.9","","-4.9","","-3.4","","21.4","","0.0","","","","","","0.1","","44","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-26","2024","01","26","","-0.2","","-1.9","","-1.0","","19.0","","0.0","","","","","","0.2","","43","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-27","2024","01","27","","1.6","","-2.5","","-0.5","","18.5","","0.0","","","","","","0.1","","43","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-28","2024","01","28","","-2.4","","-9.7","","-6.1","","24.1","","0.0","","","","","","0.1","","41","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-29","2024","01","29","","-6.0","","-9.3","","-7.6","","25.6","","0.0","","","","","","0.0","","41","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-30","2024","01","30","","1.2","","-9.6","","-4.2","","22.2","","0.0","","","","","","0.0","","41","","24","","33",""
"-77.79","49.76","MATAGAMI","7094637","2024-01-31","2024","01","31","","1.6","","-0.9","","0.4","","17.6","","0.0","","","","","","1.4","","41","","23","","34",""
"-77.79","49.76","MATAGAMI","7094637","2024-02-01","2024","02","01","","0.3","","-14.9","","-7.3","","25.3","","0.0","","","","","","2.8","","43","","33","","32",""
"-77.79","49.76","MATAGAMI","7094637","2024-02-02","2024","02","02","","-6.3","","-20.6","","-13.4","","31.4","","0.0","","","","","","0.0","","43","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2024-02-03","2024","02","03","","-2.6","","-8.0","","-5.3","","23.3","","0.0","","","","","","0.0","","43","","","","",""
