"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.79","49.76","MATAGAMI","7094637","2022-01-01","2022","01","01","","-16.0","","-28.4","","-22.2","","40.2","","0.0","","","","","","0.7","","40","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-02","2022","01","02","","-20.9","","-32.5","","-26.7","","44.7","","0.0","","","","","","0.0","","39","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-03","2022","01","03","","-15.9","","-31.3","","-23.6","","41.6","","0.0","","","","","","0.6","","39","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-04","2022","01","04","","-17.0","","-22.1","","-19.6","","37.6","","0.0","","","","","","0.2","","40","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-05","2022","01","05","","-16.5","","-22.3","","-19.4","","37.4","","0.0","","","","","","0.3","","41","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-06","2022","01","06","","-18.7","","-24.8","","-21.7","","39.7","","0.0","","","","","","0.0","","40","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-07","2022","01","07","","-21.1","","-28.8","","-25.0","","43.0","","0.0","","","","","","0.0","","39","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-08","2022","01","08","","-10.0","","-31.4","","-20.7","","38.7","","0.0","","","","","","1.7","","39","","19","","49",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-09","2022","01","09","","-5.0","","-22.6","","-13.8","","31.8","","0.0","","","","","","2.3","","38","","29","","58",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-10","2022","01","10","","-22.4","","-33.5","","-27.9","","45.9","","0.0","","","","","","0.0","","53","","29","","44",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-11","2022","01","11","","-17.1","","-35.4","","-26.2","","44.2","","0.0","","","","","","2.1","","48","","17","","43",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-12","2022","01","12","","-13.4","","-32.2","","-22.8","","40.8","","0.0","","","","","","2.7","","46","","32","","47",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-13","2022","01","13","","-16.2","","-33.2","","-24.7","","42.7","","0.0","","","","","","1.4","","53","","33","","49",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-14","2022","01","14","","-25.8","","-35.0","","-30.4","","48.4","","0.0","","","","","","0.0","","48","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-15","2022","01","15","","-22.1","","-35.1","","-28.6","","46.6","","0.0","","","","","","0.0","","47","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2022-01-16","2022","01","16","","-9.7","","-24.5","","-17.1","","35.1","","0.0","","","","","","0.5","","48","","20","","42",""
