"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.79","49.76","MATAGAMI","7094637","2023-01-01","2023","01","01","","-3.1","","-6.6","","-4.9","","22.9","","0.0","","","","","","0.5","","49","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2023-01-02","2023","01","02","","-1.4","","-6.4","","-3.9","","21.9","","0.0","","","","","","1.2","","49","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2023-01-03","2023","01","03","","-2.2","","-8.6","","-5.4","","23.4","","0.0","","","","","","0.0","","49","","26","","35",""
"-77.79","49.76","MATAGAMI","7094637","2023-01-04","2023","01","04","","-8.6","","-21.7","","-15.1","","33.1","","0.0","","","","","","0.0","","48","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2023-01-05","2023","01","05","","-11.8","","-21.3","","-16.6","","34.6","","0.0","","","","","","0.0","","47","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2023-01-06","2023","01","06","","-9.6","","-16.4","","-13.0","","31.0","","0.0","","","","","","0.0","","47","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2023-01-07","2023","01","07","","-12.6","","-14.4","","-13.5","","31.5","","0.0","","","","","","0.0","","47","","32","","33",""
"-77.79","49.76","MATAGAMI","7094637","2023-01-08","2023","01","08","","-5.3","","-14.7","","-10.0","","28.0","","0.0","","","","","","1.7","","48","","22","","31",""
"-77.79","49.76","MATAGAMI","7094637","2023-01-09","2023","01","09","","-4.7","","-19.8","","-12.2","","30.2","","0.0","","","","","","5.2","","52","","32","","44",""
"-77.79","49.76","MATAGAMI","7094637","2023-01-10","2023","01","10","","-15.6","","-26.9","","-21.3","","39.3","","0.0","","","","","","0.0","","54","","","","",""
